tipo,ordem,fc,fase_zero,rp,rs,rmse
cheby2,3,2700,True,0.5,50.0,0.32055772921900566
cheby2,3,2300,True,0.5,40.0,0.3207047371617048
butter,3,1100,True,0.5,40.0,0.3210178424380247
cheby2,3,1900,True,0.5,30.0,0.32122657665103904
cheby2,3,3000,True,0.5,60.0,0.3212527511202477
butter,3,1000,True,0.5,40.0,0.32202909238396576
butter,4,1000,True,0.5,40.0,0.3221342441526491
cheby2,3,2400,True,0.5,40.0,0.3224323306197979
cheby2,3,1800,True,0.5,30.0,0.3226165646500662
cheby2,4,2400,True,0.5,60.0,0.32263029841406055
cheby2,3,3100,True,0.5,60.0,0.32273877048901317
cheby2,3,2800,True,0.5,50.0,0.3230639425860096
cheby2,4,2100,True,0.5,50.0,0.32319612771639566
cheby2,3,2000,True,0.5,30.0,0.3236727617350335
cheby2,2,2700,True,0.5,30.0,0.32382006721074685
cheby2,2,3200,True,0.5,40.0,0.3240753648271642
cheby2,3,2200,True,0.5,40.0,0.32417635839465053
cheby2,4,1800,True,0.5,40.0,0.3242792010281586
cheby2,4,2000,True,0.5,50.0,0.32428524124464614
butter,4,1100,True,0.5,40.0,0.32431403784953355
cheby2,4,1700,True,0.5,40.0,0.32441925149059503
butter,2,1200,True,0.5,40.0,0.32459062288920565
cheby2,4,2500,True,0.5,60.0,0.32460590248556875
butter,5,1000,True,0.5,40.0,0.324687157191183
butter,2,1100,True,0.5,40.0,0.32500305605821234
cheby2,2,2800,True,0.5,30.0,0.3251073714326503
cheby2,4,2300,True,0.5,60.0,0.32530582934840446
cheby2,4,2200,True,0.5,50.0,0.32543499006241505
cheby2,3,2600,True,0.5,50.0,0.32553722342614194
cheby2,4,1500,True,0.5,30.0,0.3257691811984681
butter,3,1200,True,0.5,40.0,0.32583711753131844
cheby2,5,1900,True,0.5,60.0,0.3258492583237952
cheby1,3,700,True,0.1,40.0,0.32598213677779714
cheby2,4,1400,True,0.5,30.0,0.32619595620090425
ellip,3,700,True,0.1,60.0,0.3262019304056149
ellip,3,700,True,0.1,50.0,0.3264674582906591
cheby2,5,2000,True,0.5,60.0,0.3267071627910411
cheby2,4,1900,True,0.5,40.0,0.3267736247392708
cheby2,5,1700,True,0.5,50.0,0.32678403283666524
ellip,3,700,True,0.1,40.0,0.32707812386135193
cheby1,3,800,True,0.1,40.0,0.3273301435478462
ellip,3,800,True,0.1,60.0,0.3273479719855423
butter,6,1000,True,0.5,40.0,0.32735983869000046
ellip,3,800,True,0.1,50.0,0.32738351567334445
cheby2,5,1600,True,0.5,50.0,0.3274547261474039
ellip,3,800,True,0.1,40.0,0.3275120432317109
cheby2,3,2500,True,0.5,40.0,0.32757086865777035
butter,5,900,True,0.5,40.0,0.3277873194760082
butter,6,900,True,0.5,40.0,0.3278376439978383
butter,5,1100,True,0.5,40.0,0.32786139855532154
cheby2,5,1400,True,0.5,40.0,0.32787052239151243
cheby2,4,1600,True,0.5,30.0,0.32799100346418525
ellip,3,800,True,0.1,30.0,0.32800289934186205
cheby2,6,1600,True,0.5,60.0,0.328439400977219
butter,7,900,True,0.5,40.0,0.3284940885997001
ellip,3,700,True,0.1,30.0,0.32852992498937383
